Frame,Timecode,Delta RGB,Delta Frame
126,00:04.2,76.12821615,-9.11E-05
127,00:04.2,76.08497396,-0.043242188
128,00:04.3,75.71601128,-0.368962674
129,00:04.3,75.72634115,0.010329861
130,00:04.3,75.50094184,-0.225399306
131,00:04.4,75.50170573,0.000763889
132,00:04.4,75.52979601,0.028090278
133,00:04.4,75.65104601,0.12125
134,00:04.5,75.6556901,0.004644097
135,00:04.5,75.72729167,0.071601563
136,00:04.5,75.71448351,-0.01280816
137,00:04.6,75.71059896,-0.003884549
138,00:04.6,75.56756944,-0.143029514
139,00:04.6,75.79121528,0.223645833
140,00:04.7,75.59908854,-0.192126736
141,00:04.7,75.59890625,-0.000182292
142,00:04.7,75.01340278,-0.585503472
143,00:04.8,74.41431424,-0.599088542
144,00:04.8,73.75292969,-0.661384549
145,00:04.8,73.3533941,-0.39953559
146,00:04.9,73.36703993,0.013645833
147,00:04.9,72.68616319,-0.680876736
148,00:04.9,73.99749566,1.311332465
149,00:05.0,73.80449653,-0.192999132
150,00:05.0,74.82237413,1.017877604
151,00:05.0,74.83802517,0.015651042
152,00:05.1,75.4212717,0.583246528
153,00:05.1,76.45233073,1.031059028
154,00:05.1,77.30643229,0.854101562
